"input text","origin case+#chunk","output text"
"Id. ¶ 87. A reasonable social worker would have understood that failing to place Isaiah in a facility with adequate mental health treatment and supervision despite knowledge of his serious drug abuse and mental health problems amounted to deliberate indifference to a serious medical need. With regard to Isaiah's placement at Circle of Friends and then the Henderson home, Plaintiff alleges that Ms.","Shane v. Cnty. of San Diego, 677 F. Supp. 3d 1127#60",""
"Cibrian and Mr. Ruff were aware of Isaiah's history of substance abuse and need for mental health and drug treatment. Id. ¶¶ 93-96.","Shane v. Cnty. of San Diego, 677 F. Supp. 3d 1127#61",""
"Despite this knowledge, these defendants placed him at Circle of Friends, which they knew had inadequate treatment for drug abuse and poor supervision and monitoring. Id. Ms. Cibrian and Mr.","Shane v. Cnty. of San Diego, 677 F. Supp. 3d 1127#62",""
"Ruff also arranged for Isaiah to stay at the Henderson home, even though they knew that Harley had used drugs with Isaiah, the Henderson home was a ""drug house,"" and 20-year-old Harley would be Isaiah's primary caretaker. Id. ¶¶ 102-107. A reasonable social worker would have understood that failing to provide Isaiah with proper monitoring and mental health and drug treatment despite his drug abuse problems would constitute deliberate indifference to Isaiah's right to safety in his foster care placements.","Shane v. Cnty. of San Diego, 677 F. Supp. 3d 1127#63",""
"Finally, with regard to Isaiah's second Circle of Friend's placement, Plaintiff alleges that Ms. Watson and Ms. Neimann placed Isaiah back at Circle of Friends even though they knew that Isaiah did not get the intensive monitoring and drug and mental health treatment that he needed during his previous stay.","Shane v. Cnty. of San Diego, 677 F. Supp. 3d 1127#64",""
"Id. ¶ 114. Plaintiff alleges that these defendants knew Isaiah used drugs, did not get adequate drug and mental health treatment, and his mental illness, substance abuse, and behavioral issues had substantially worsened during his previous stay. Id. ¶¶ 114-115.","Shane v. Cnty. of San Diego, 677 F. Supp. 3d 1127#65",""
"Based on these allegations, a reasonable social worker would have recognized that the failure to provide Isaiah with the supervision, monitoring, and drug treatment that he required would violate his clearly established rights to such monitoring to prevent his self-destructive behaviors. Accepting as true all factual allegations in the complaint, Plaintiff has alleged that Social Worker Defendants reasonably knew of the substantial risks of placing Isaiah without proper mental health and drug treatment, yet still chose to do so in deliberate indifference to Isaiah's clearly established right to adequate supervision and medical care while in state custody. Based on these allegations and the clearly established law, a reasonable social worker would have understood they were violating Isaiah's constitutional rights.","Shane v. Cnty. of San Diego, 677 F. Supp. 3d 1127#66",""
"Social Worker Defendants are therefore not entitled to qualified immunity on Claim 1. B. Qualified Immunity for Plaintiff's State-Created Danger Claim (Claim 2) Social Worker Defendants also argue qualified immunity shields them from Plaintiff's claim that they violated Isaiah's Fourteenth Amendment right to be free from state-created dangers. Under this danger creation theory, a state is liable under the Fourteenth Amendment when ""the state affirmatively places the plaintiff in danger by acting with deliberate indifference to a known and obvious danger."" Patel, 648 F.3d at 971-972 (quotations omitted).","Shane v. Cnty. of San Diego, 677 F. Supp. 3d 1127#67",""
"To state a substantive due process claim based on a state-created danger, a plaintiff must establish three elements: (1) ""that the officers' affirmative actions created or exposed her to an actual, particularized danger that she would not otherwise have faced""; (2) ""that the injury she suffered was foreseeable""; and (3) ""that the officers were deliberately indifferent to the known danger."" Martinez v. City of Clovis, 943 F.3d 1260, 1271 (9th Cir. 2019). Deliberate indifference requires that the official ""knows that something is going to happen but ignores the risk and exposes [the plaintiff] to it."" Patel, 648 F.3d at 974 (quoting L.W. v. Grubbs, 92 F.3d 894, 900 (9th Cir. 1996)). 1.","Shane v. Cnty. of San Diego, 677 F. Supp. 3d 1127#68",""
"A Foster Child's Clearly Established Rights Under the ""State-Created Danger"" Doctrine The Ninth Circuit law on the ""state-created danger"" doctrine makes clear that social workers cannot place foster children where they will meet affirmative dangers such as an abusive foster parent. Tamas, 630 F.3d at 843-44; Henry A, 678 F.3d at 1002. In Tamas, social workers allegedly placed the foster children with a foster parent who physically and sexually abused them.","Shane v. Cnty. of San Diego, 677 F. Supp. 3d 1127#69",""
